,Instrument,Name,RIC_XMUN,Ticker_XMUN,RIC_main,Ticker_main,Exchange_main,Cap,Sector
0,US0378331005,Apple Inc,AAPL.GTX,APC,AAPL.OQ,AAPL,NASDAQ/NGS (GLOBAL SELECT MARKET),2454.64666048,Technology
1,US5949181045,Microsoft Corp,MSFT.GTX,MSF,MSFT.OQ,MSFT,NASDAQ/NGS (GLOBAL SELECT MARKET),1797.20278331456,Technology
2,US02079K3059,Alphabet Inc,ABEA.GTX,ABEA,GOOGL.OQ,GOOGL,NASDAQ/NGS (GLOBAL SELECT MARKET),1308.87625,Technology
3,US02079K1079,Alphabet Inc,ABECG.GTX,ABEC,GOOG.OQ,GOOG,NASDAQ/NGS (GLOBAL SELECT MARKET),1308.87625,Technology
4,US0231351067,Amazon.com Inc,AMZN.GTX,AMZ,AMZN.OQ,AMZN,NASDAQ/NGS (GLOBAL SELECT MARKET),1195.10205569958,Consumer Cyclicals
5,US88160R1014,Tesla Inc,TSLA.GTX,TL0,TSLA.OQ,TSLA,NASDAQ/NGS (GLOBAL SELECT MARKET),904.28812028655,Consumer Cyclicals
6,US0846701086,Berkshire Hathaway Inc,BRKa.GTX,BRH,BRKa.N,BRK.A,"NEW YORK STOCK EXCHANGE, INC.",592.55963910794,Consumer Non-Cyclicals
7,US0846707026,Berkshire Hathaway Inc,BRKb.GTX,BRYN,BRKb.N,BRK.B,"NEW YORK STOCK EXCHANGE, INC.",592.55963910794,Consumer Non-Cyclicals
8,US91324P1021,UnitedHealth Group Inc,UNH.GTX,UNH,UNH.N,UNH,"NEW YORK STOCK EXCHANGE, INC.",484.0231371166,Healthcare
9,US4781601046,Johnson & Johnson,JNJ.GTX,JNJ,JNJ.N,JNJ,"NEW YORK STOCK EXCHANGE, INC.",436.9171149511,Healthcare
10,US92826C8394,Visa Inc,Va.GTX,3V64,V.N,V,"NEW YORK STOCK EXCHANGE, INC.",384.36806448513,Technology
11,US30303M1027,Meta Platforms Inc,FB2A.GTX,FB2A,META.OQ,META,NASDAQ/NGS (GLOBAL SELECT MARKET),383.83567277104,Technology
12,US30231G1022,Exxon Mobil Corp,XON.GTX,XONA,XOM.N,XOM,"NEW YORK STOCK EXCHANGE, INC.",377.46281923815,Energy
13,US9311421039,Walmart Inc,WMT.GTX,WMT,WMT.N,WMT,"NEW YORK STOCK EXCHANGE, INC.",362.05219841643,Consumer Non-Cyclicals
14,US46625H1005,JPMorgan Chase & Co,JPM.GTX,CMC,JPM.N,JPM,"NEW YORK STOCK EXCHANGE, INC.",326.62938232386,Financials
15,US67066G1040,NVIDIA Corp,NVDA.GTX,NVD,NVDA.OQ,NVDA,NASDAQ/NGS (GLOBAL SELECT MARKET),312.7689,Technology
16,US7427181091,Procter & Gamble Co,PG.GTX,PRG,PG.N,PG,"NEW YORK STOCK EXCHANGE, INC.",324.92888253628,Consumer Non-Cyclicals
17,US1667641005,Chevron Corp,CVX.GTX,CHV,CVX.N,CVX,"NEW YORK STOCK EXCHANGE, INC.",303.18707834046,Energy
18,US57636Q1040,Mastercard Inc,MA.GTX,M4I,MA.N,MA,"NEW YORK STOCK EXCHANGE, INC.",288.32796543864,Technology
19,US5324571083,Eli Lilly and Co,LLY.GTX,LLY,LLY.N,LLY,"NEW YORK STOCK EXCHANGE, INC.",295.38084536079,Healthcare
20,US4370761029,Home Depot Inc,HD.GTX,HDI,HD.N,HD,"NEW YORK STOCK EXCHANGE, INC.",275.52573486902,Consumer Cyclicals
21,US0605051046,Bank of America Corp,BAC.GTX,NCB,BAC.N,BAC,"NEW YORK STOCK EXCHANGE, INC.",261.1452683125,Financials
22,US1912161007,Coca-Cola Co,KO.GTX,CCC3,KO.N,KO,"NEW YORK STOCK EXCHANGE, INC.",256.27752485124,Consumer Non-Cyclicals
23,US00287Y1091,Abbvie Inc,4AB.GTX,4AB,ABBV.N,ABBV,"NEW YORK STOCK EXCHANGE, INC.",252.85547974995,Healthcare
24,US7170811035,Pfizer Inc,PFE.GTX,PFE,PFE.N,PFE,"NEW YORK STOCK EXCHANGE, INC.",250.14252012713,Healthcare
25,US7134481081,PepsiCo Inc,PEP.GTX,PEP,PEP.OQ,PEP,NASDAQ/NGS (GLOBAL SELECT MARKET),232.6823046984,Consumer Non-Cyclicals
26,US22160K1051,Costco Wholesale Corp,COST.GTX,CTO,COST.OQ,COST,NASDAQ/NGS (GLOBAL SELECT MARKET),215.79825986433,Consumer Cyclicals
27,US58933Y1055,Merck & Co Inc,MRK.GTX,6MK,MRK.N,MRK,"NEW YORK STOCK EXCHANGE, INC.",221.68731923595,Healthcare
28,US8835561023,Thermo Fisher Scientific Inc,TMO.GTX,TN8,TMO.N,TMO,"NEW YORK STOCK EXCHANGE, INC.",203.84387903898,Healthcare
29,US2358511028,Danaher Corp,DHR.GTX,DAP,DHR.N,DHR,"NEW YORK STOCK EXCHANGE, INC.",193.81326593265,Healthcare
30,US11135F1012,Broadcom Inc,1YD.GTX,1YD,AVGO.OQ,AVGO,NASDAQ/NGS (GLOBAL SELECT MARKET),193.43274540016,Technology
31,US2546871060,Walt Disney Co,DIS.GTX,WDP,DIS.N,DIS,"NEW YORK STOCK EXCHANGE, INC.",186.24358249832,Consumer Cyclicals
32,US5801351017,McDonald's Corp,MCD.GTX,MDO,MCD.N,MCD,"NEW YORK STOCK EXCHANGE, INC.",182.41374017174,Consumer Cyclicals
33,US68389X1054,Oracle Corp,ORCL.GTX,ORC,ORCL.N,ORCL,"NEW YORK STOCK EXCHANGE, INC.",177.99396759,Technology
34,US0028241000,Abbott Laboratories,ABT.GTX,ABL,ABT.N,ABT,"NEW YORK STOCK EXCHANGE, INC.",176.99577942501,Healthcare
35,US8725901040,T-Mobile US Inc,TM5.GTX,TM5,TMUS.OQ,TMUS,NASDAQ/NGS (GLOBAL SELECT MARKET),169.3582689218,Technology
36,US17275R1023,Cisco Systems Inc,CSCO.GTX,CIS,CSCO.OQ,CSCO,NASDAQ/NGS (GLOBAL SELECT MARKET),169.07893747205,Technology
37,US92343V1044,Verizon Communications Inc,VZ.GTX,BAC,VZ.N,VZ,"NEW YORK STOCK EXCHANGE, INC.",167.69460701268,Technology
38,US65339F1012,Nextera Energy Inc,FPL.GTX,FP3,NEE.N,NEE,"NEW YORK STOCK EXCHANGE, INC.",164.13765294782,Utilities
39,US9497461015,Wells Fargo & Co,NOB.GTX,NWT,WFC.N,WFC,"NEW YORK STOCK EXCHANGE, INC.",157.48741561368,Financials
40,US6541061031,Nike Inc,NKE.GTX,NKE,NKE.N,NKE,"NEW YORK STOCK EXCHANGE, INC.",154.58118443775,Consumer Cyclicals
41,US9113121068,United Parcel Service Inc,UPS.GTX,UPAB,UPS.N,UPS,"NEW YORK STOCK EXCHANGE, INC.",145.81461601938,Industrials
42,US7181721090,Philip Morris International Inc,4I1.GTX,4I1,PM.N,PM,"NEW YORK STOCK EXCHANGE, INC.",148.49014518912,Consumer Non-Cyclicals
43,US8825081040,Texas Instruments Inc,TXN.GTX,TII,TXN.OQ,TXN,NASDAQ/NGS (GLOBAL SELECT MARKET),148.5870916963,Technology
44,US1101221083,Bristol-Myers Squibb Co,BMY.GTX,BRM,BMY.N,BMY,"NEW YORK STOCK EXCHANGE, INC.",152.22234021382,Healthcare
45,US6174464486,Morgan Stanley,MWD.GTX,DWD,MS.N,MS,"NEW YORK STOCK EXCHANGE, INC.",145.53536604439,Financials
46,US79466L3024,Salesforce Inc,FOO.GTX,FOO,CRM.N,CRM,"NEW YORK STOCK EXCHANGE, INC.",150.15,Technology
47,US20030N1019,Comcast Corp,CMCS.GTX,CTP2,CMCSA.OQ,CMCSA,NASDAQ/NGS (GLOBAL SELECT MARKET),143.29784938685,Consumer Cyclicals
48,US20825C1045,Conocophillips,COP.GTX,YCP,COP.N,COP,"NEW YORK STOCK EXCHANGE, INC.",140.1100521519,Energy
49,US7475251036,Qualcomm Inc,QCOM.GTX,QCI,QCOM.OQ,QCOM,NASDAQ/NGS (GLOBAL SELECT MARKET),138.89264,Technology
50,US8085131055,Charles Schwab Corp,SCH.GTX,SWG,SCHW.N,SCHW,"NEW YORK STOCK EXCHANGE, INC.",136.70414874156,Financials
51,US00724F1012,Adobe Inc,ADBE.GTX,ADB,ADBE.OQ,ADBE,NASDAQ/NGS (GLOBAL SELECT MARKET),134.34408,Technology
52,US9078181081,Union Pacific Corp,UNP.GTX,UNP,UNP.N,UNP,"NEW YORK STOCK EXCHANGE, INC.",130.62218750698,Industrials
53,US1266501006,CVS Health Corp,CVS.GTX,CVS,CVS.N,CVS,"NEW YORK STOCK EXCHANGE, INC.",131.05969980281,Healthcare
54,US75513E1010,Raytheon Technologies Corp,5UR.GTX,5UR,RTX.N,RTX,"NEW YORK STOCK EXCHANGE, INC.",123.2150971387,Industrials
55,US0079031078,Advanced Micro Devices Inc,AMD.GTX,AMD,AMD.OQ,AMD,NASDAQ/NGS (GLOBAL SELECT MARKET),112.19530255,Technology
56,US0311621009,Amgen Inc,AMGN.GTX,AMG,AMGN.OQ,AMGN,NASDAQ/NGS (GLOBAL SELECT MARKET),121.8305010875,Healthcare
57,US4385161066,Honeywell International Inc,HON.GTX,ALD,HON.OQ,HON,NASDAQ/NGS (GLOBAL SELECT MARKET),116.71719392025,Consumer Non-Cyclicals
58,US5486611073,Lowe's Companies Inc,LOW.GTX,LWE,LOW.N,LOW,"NEW YORK STOCK EXCHANGE, INC.",116.76619066404,Consumer Cyclicals
59,US4581401001,Intel Corp,INTC.GTX,INL,INTC.OQ,INTC,NASDAQ/NGS (GLOBAL SELECT MARKET),115.25542,Technology
60,US00206R1023,AT&T Inc,T.GTX,SOBA,T.N,T,"NEW YORK STOCK EXCHANGE, INC.",115.72624,Technology
61,US4612021034,Intuit Inc,INTU.GTX,ITU,INTU.OQ,INTU,NASDAQ/NGS (GLOBAL SELECT MARKET),111.82059969809,Technology
62,US4592001014,International Business Machines Corp,IBM.GTX,IBM,IBM.N,IBM,"NEW YORK STOCK EXCHANGE, INC.",113.17753003443,Technology
63,US0367521038,Elevance Health Inc,A58.GTX,A58,ELV.N,ELV,"NEW YORK STOCK EXCHANGE, INC.",111.09152123872,Healthcare
64,US78409V1044,S&P Global Inc,MHP.GTX,MHL,SPGI.N,SPGI,"NEW YORK STOCK EXCHANGE, INC.",107.510395,Industrials
65,US0258161092,American Express Co,AXP.GTX,AEC1,AXP.N,AXP,"NEW YORK STOCK EXCHANGE, INC.",107.23642626067,Financials
66,US5398301094,Lockheed Martin Corp,LMT.GTX,LOM,LMT.N,LMT,"NEW YORK STOCK EXCHANGE, INC.",111.91544775136,Industrials
67,US38141G1040,Goldman Sachs Group Inc,GS.GTX,GOS,GS.N,GS,"NEW YORK STOCK EXCHANGE, INC.",106.8170976156,Financials
68,US03027X1000,American Tower Corp,A0T.GTX,A0T,AMT.N,AMT,"NEW YORK STOCK EXCHANGE, INC.",108.37932044424,Real Estate
69,US09260D1072,Blackstone Inc,BBN1.GTX,BBN1,BX.N,BX,"NEW YORK STOCK EXCHANGE, INC.",103.5888366744,Financials
70,US2441991054,Deere & Co,DE.GTX,DCO,DE.N,DE,"NEW YORK STOCK EXCHANGE, INC.",104.4688285319,Industrials
71,US70450Y1038,PayPal Holdings Inc,2PP.GTX,2PP,PYPL.OQ,PYPL,NASDAQ/NGS (GLOBAL SELECT MARKET),101.37667511484,Technology
72,US64110L1061,Netflix Inc,NFLO.GTX,NFC,NFLX.OQ,NFLX,NASDAQ/NGS (GLOBAL SELECT MARKET),105.41746034655,Technology
73,US8552441094,Starbucks Corp,SBUX.GTX,SRB,SBUX.OQ,SBUX,NASDAQ/NGS (GLOBAL SELECT MARKET),97.18478,Consumer Cyclicals
74,US0530151036,Automatic Data Processing Inc,AUD.GTX,ADP,ADP.OQ,ADP,NASDAQ/NGS (GLOBAL SELECT MARKET),95.76419930248,Technology
75,US09247X1019,BlackRock Inc,BLK.GTX,BLQA,BLK.N,BLK,"NEW YORK STOCK EXCHANGE, INC.",90.5366277695,Financials
76,US1491231015,Caterpillar Inc,CAT1.GTX,CAT1,CAT.N,CAT,"NEW YORK STOCK EXCHANGE, INC.",90.03490433865,Industrials
77,US1729674242,Citigroup Inc,TRVC.GTX,TRVC,C.N,C,"NEW YORK STOCK EXCHANGE, INC.",88.27522461634,Financials
78,US1255231003,Cigna Corp,CI.GTX,CGN,CI.N,CI,"NEW YORK STOCK EXCHANGE, INC.",86.3173735458,Healthcare
79,US0970231058,Boeing Co,BA.GTX,BCO,BA.N,BA,"NEW YORK STOCK EXCHANGE, INC.",82.36754725199,Industrials
80,US5184391044,Estee Lauder Companies Inc,EL.GTX,ELAA,EL.N,EL,"NEW YORK STOCK EXCHANGE, INC.",83.840224676,Consumer Non-Cyclicals
81,US6092071058,Mondelez International Inc,KFT.GTX,KTF,MDLZ.OQ,MDLZ,NASDAQ/NGS (GLOBAL SELECT MARKET),81.9598535574,Consumer Non-Cyclicals
82,US81762P1021,ServiceNow Inc,4S0.GTX,4S0,NOW.N,NOW,"NEW YORK STOCK EXCHANGE, INC.",78.16794,Technology
83,US8425871071,Southern Co,SO.GTX,SOT,SO.N,SO,"NEW YORK STOCK EXCHANGE, INC.",80.7243202408,Utilities
84,US8636671013,Stryker Corp,SYK.GTX,SYK,SYK.N,SYK,"NEW YORK STOCK EXCHANGE, INC.",79.02362906928,Healthcare
85,US74340W1036,Prologis Inc,POJA.GTX,POJN,PLD.N,PLD,"NEW YORK STOCK EXCHANGE, INC.",80.36062812,Real Estate
86,US26441C2044,Duke Energy Corp,D2MN.GTX,D2MN,DUK.N,DUK,"NEW YORK STOCK EXCHANGE, INC.",80.60032602832,Utilities
87,US3755581036,Gilead Sciences Inc,GILD.GTX,GIS,GILD.OQ,GILD,NASDAQ/NGS (GLOBAL SELECT MARKET),79.92723871538,Healthcare
88,US02209S1033,Altria Group Inc,MO.GTX,PHM7,MO.N,MO,"NEW YORK STOCK EXCHANGE, INC.",77.92162778241,Consumer Non-Cyclicals
89,US5717481023,Marsh & McLennan Companies Inc,MMC.GTX,MSN,MMC.N,MMC,"NEW YORK STOCK EXCHANGE, INC.",75.45646067102,Financials
90,US0326541051,Analog Devices Inc,ADI.GTX,ANL,ADI.OQ,ADI,NASDAQ/NGS (GLOBAL SELECT MARKET),74.75439811554,Technology
91,US6668071029,Northrop Grumman Corp,NOC.GTX,NTH,NOC.N,NOC,"NEW YORK STOCK EXCHANGE, INC.",76.80797150154,Industrials
92,US0382221051,Applied Materials Inc,AMAT.GTX,AP2,AMAT.OQ,AMAT,NASDAQ/NGS (GLOBAL SELECT MARKET),73.16070942008,Technology
93,US75886F1075,Regeneron Pharmaceuticals Inc,REGN.GTX,RGO,REGN.OQ,REGN,NASDAQ/NGS (GLOBAL SELECT MARKET),75.02606769972,Healthcare
94,US87612E1064,Target Corp,TGT.GTX,DYH,TGT.N,TGT,"NEW YORK STOCK EXCHANGE, INC.",70.4017718848,Consumer Cyclicals
95,US8725401090,TJX Companies Inc,TJX.GTX,TJX,TJX.N,TJX,"NEW YORK STOCK EXCHANGE, INC.",71.99689411161,Consumer Cyclicals
96,US0090661010,Airbnb Inc,6Z1.GTX,6Z1,ABNB.OQ,ABNB,NASDAQ/NGS (GLOBAL SELECT MARKET),66.32879458456,Technology
97,US92532F1003,Vertex Pharmaceuticals Inc,VRTX.GTX,VX1,VRTX.OQ,VRTX,NASDAQ/NGS (GLOBAL SELECT MARKET),73.43460807588,Healthcare
98,US09857L1089,Booking Holdings Inc,PCE1.GTX,PCE1,BKNG.OQ,BKNG,NASDAQ/NGS (GLOBAL SELECT MARKET),68.31777618384,Consumer Cyclicals
99,US3696043013,General Electric Co,GCP.GTX,GCP,GE.N,GE,"NEW YORK STOCK EXCHANGE, INC.",71.67071074672,Consumer Non-Cyclicals
100,US7433151039,Progressive Corp,PGR.GTX,PGV,PGR.N,PGR,"NEW YORK STOCK EXCHANGE, INC.",71.627942,Financials
101,US98978V1035,Zoetis Inc,ZOE.GTX,ZOE,ZTS.N,ZTS,"NEW YORK STOCK EXCHANGE, INC.",69.96799037328,Healthcare
102,US94106L1098,Waste Management Inc,UW.GTX,UWS,WM.N,WM,"NEW YORK STOCK EXCHANGE, INC.",68.97333076205,Industrials
103,US46120E6023,Intuitive Surgical Inc,ISRGD.GTX,IUI1,ISRG.OQ,ISRG,NASDAQ/NGS (GLOBAL SELECT MARKET),68.23680656736,Healthcare
104,US26875P1012,EOG Resources Inc,EOGR.GTX,EO5,EOG.N,EOG,"NEW YORK STOCK EXCHANGE, INC.",69.3583691787,Energy
105,US22822V1017,Crown Castle Inc,8CW.GTX,8CW,CCI.N,CCI,"NEW YORK STOCK EXCHANGE, INC.",68.02613798176,Real Estate
106,US0758871091,Becton Dickinson and Co,BDX.GTX,BOX,BDX.N,BDX,"NEW YORK STOCK EXCHANGE, INC.",67.64542861528,Healthcare
107,US25746U1097,Dominion Energy Inc,D.GTX,DOD,D.N,D,"NEW YORK STOCK EXCHANGE, INC.",65.30151939668,Utilities
108,US12572Q1058,CME Group Inc,MX4A.GTX,MX4A,CME.OQ,CME,NASDAQ/NGS (GLOBAL SELECT MARKET),65.89490633901,Financials
109,US88579Y1010,3M Co,MMM.GTX,MMM,MMM.N,MMM,"NEW YORK STOCK EXCHANGE, INC.",65.01459234192,Consumer Non-Cyclicals
110,US9029733048,US Bancorp,FSR.GTX,UB5,USB.N,USB,"NEW YORK STOCK EXCHANGE, INC.",63.93328672484,Financials
111,US6934751057,PNC Financial Services Group Inc,PNC.GTX,PNP,PNC.N,PNC,"NEW YORK STOCK EXCHANGE, INC.",63.43387969868,Financials
112,US3377381088,Fiserv Inc,FISV.GTX,FIV,FISV.OQ,FISV,NASDAQ/NGS (GLOBAL SELECT MARKET),63.03743333888,Industrials
113,US3695501086,General Dynamics Corp,GD.GTX,GDX,GD.N,GD,"NEW YORK STOCK EXCHANGE, INC.",62.5528203198,Industrials
114,US1941621039,Colgate-Palmolive Co,CL.GTX,CPA,CL.N,CL,"NEW YORK STOCK EXCHANGE, INC.",62.85929616192,Consumer Non-Cyclicals
115,US1264081035,CSX Corp,CSX.GTX,CXR,CSX.OQ,CSX,NASDAQ/NGS (GLOBAL SELECT MARKET),61.17525925552,Industrials
116,US4448591028,Humana Inc,HUM.GTX,HUM,HUM.N,HUM,"NEW YORK STOCK EXCHANGE, INC.",62.50613697918,Healthcare
117,US89832Q1094,Truist Financial Corp,BBKG.GTX,BBK,TFC.N,TFC,"NEW YORK STOCK EXCHANGE, INC.",59.4224255296,Financials
118,US90353T1007,Uber Technologies Inc,UT8.GTX,UT8,UBER.N,UBER,"NEW YORK STOCK EXCHANGE, INC.",56.58606141292,Technology
119,US4523081093,Illinois Tool Works Inc,ITW.GTX,ILT,ITW.N,ITW,"NEW YORK STOCK EXCHANGE, INC.",58.48444461301,Consumer Non-Cyclicals
120,US00507V1098,Activision Blizzard Inc,ATVI.GTX,AIY,ATVI.OQ,ATVI,NASDAQ/NGS (GLOBAL SELECT MARKET),60.26107678176,Technology
121,US6745991058,Occidental Petroleum Corp,OXY.GTX,OPC,OXY.N,OXY,"NEW YORK STOCK EXCHANGE, INC.",57.64072168036,Energy
122,US8334451098,Snowflake Inc.,5Q5.GTX,5Q5,SNOW.N,SNOW,"NEW YORK STOCK EXCHANGE, INC.",54.9728,Technology
123,US40412C1018,HCA Healthcare Inc,HCA.GTX,2BH,HCA.N,HCA,"NEW YORK STOCK EXCHANGE, INC.",55.700032688,Healthcare
124,US1011371077,Boston Scientific Corp,BSXU.GTX,BSX,BSX.N,BSX,"NEW YORK STOCK EXCHANGE, INC.",56.2624425009,Healthcare
125,US16119P1084,Charter Communications Inc,CQD.GTX,CQD,CHTR.OQ,CHTR,NASDAQ/NGS (GLOBAL SELECT MARKET),53.65225897416,Technology
126,US29444U7000,Equinix Inc,EQN2.GTX,EQN2,EQIX.OQ,EQIX,NASDAQ/NGS (GLOBAL SELECT MARKET),55.4884672131,Real Estate
127,US8243481061,Sherwin-Williams Co,SHW.GTX,SJ3,SHW.N,SHW,"NEW YORK STOCK EXCHANGE, INC.",53.92303417665,Basic Materials
128,US5951121038,Micron Technology Inc,MU.GTX,MTE,MU.OQ,MU,NASDAQ/NGS (GLOBAL SELECT MARKET),54.78218606328,Technology
129,US37045V1008,General Motors Co,GMC.GTX,8GM,GM.N,GM,"NEW YORK STOCK EXCHANGE, INC.",54.50187005004,Consumer Cyclicals
130,US5128071082,Lam Research Corp,LRCX.GTX,LAR,LRCX.OQ,LRCX,NASDAQ/NGS (GLOBAL SELECT MARKET),52.99098757936,Technology
131,US7237871071,Pioneer Natural Resources Co,PXD.GTX,PNK,PXD.N,PXD,"NEW YORK STOCK EXCHANGE, INC.",54.0938651241,Energy
132,US2566771059,Dollar General Corp,DG.GTX,7DG,DG.N,DG,"NEW YORK STOCK EXCHANGE, INC.",54.1823293058,Consumer Cyclicals
133,US0091581068,Air Products and Chemicals Inc,APD.GTX,AP3,APD.N,APD,"NEW YORK STOCK EXCHANGE, INC.",52.90349318664,Basic Materials
134,US6558441084,Norfolk Southern Corp,NSC.GTX,NFS,NSC.N,NSC,"NEW YORK STOCK EXCHANGE, INC.",52.77845811621,Industrials
135,AN8068571086,Schlumberger NV,SLB.GTX,SCL,SLB.N,SLB,"NEW YORK STOCK EXCHANGE, INC.",54.07206333272,Energy
136,US74460D1090,Public Storage,PSA.GTX,PUP,PSA.N,PSA,"NEW YORK STOCK EXCHANGE, INC.",52.4712203617,Real Estate
137,US28176E1082,Edwards Lifesciences Corp,EW.GTX,EWL,EW.N,EW,"NEW YORK STOCK EXCHANGE, INC.",52.18060803356,Healthcare
138,US49271V1008,Keurig Dr Pepper Inc,DP5.GTX,DP5,KDP.OQ,KDP,NASDAQ/NGS (GLOBAL SELECT MARKET),52.55190366549,Consumer Non-Cyclicals
139,US3453708600,Ford Motor Co,F.GTX,FMC1,F.N,F,"NEW YORK STOCK EXCHANGE, INC.",51.33843310486,Consumer Cyclicals
140,US45866F1049,Intercontinental Exchange Inc,IC2.GTX,IC2,ICE.N,ICE,"NEW YORK STOCK EXCHANGE, INC.",52.5285806435,Financials
141,US8168511090,Sempra Energy,SRE.GTX,SE4,SRE.N,SRE,"NEW YORK STOCK EXCHANGE, INC.",51.60661324689,Utilities
142,US59156R1086,MetLife Inc,MET.GTX,MWZ,MET.N,MET,"NEW YORK STOCK EXCHANGE, INC.",50.62458082693,Financials
143,US6974351057,Palo Alto Networks Inc,5AP.GTX,5AP,PANW.OQ,PANW,NASDAQ/NGS (GLOBAL SELECT MARKET),49.72335061344,Technology
144,US0255371017,American Electric Power Company Inc,AEP.GTX,AEP,AEP.OQ,AEP,NASDAQ/NGS (GLOBAL SELECT MARKET),50.79801633792,Utilities
145,US58155Q1031,Mckesson Corp,MCK.GTX,MCK,MCK.N,MCK,"NEW YORK STOCK EXCHANGE, INC.",49.8687186668,Consumer Non-Cyclicals
146,US60770K1079,Moderna Inc,0QF.GTX,0QF,MRNA.OQ,MRNA,NASDAQ/NGS (GLOBAL SELECT MARKET),48.63392731008,Healthcare
147,US6153691059,Moody's Corp,MCO.GTX,DUT,MCO.N,MCO,"NEW YORK STOCK EXCHANGE, INC.",46.84755,Industrials
148,US31620M1062,Fidelity National Information Services Inc,FIS.GTX,ZGY,FIS.N,FIS,"NEW YORK STOCK EXCHANGE, INC.",48.94835354356,Technology
149,US0394831020,Archer-Daniels-Midland Co,ADM.GTX,ADM,ADM.N,ADM,"NEW YORK STOCK EXCHANGE, INC.",48.24753424383,Consumer Non-Cyclicals
150,US5719032022,Marriott International Inc,MAR.GTX,MAQ,MAR.OQ,MAR,NASDAQ/NGS (GLOBAL SELECT MARKET),45.47289076938,Consumer Cyclicals
151,US8716071076,Synopsys Inc,SNPS.GTX,SYP,SNPS.OQ,SNPS,NASDAQ/NGS (GLOBAL SELECT MARKET),46.93919526768,Technology
152,US3703341046,General Mills Inc,GIS.GTX,GRM,GIS.N,GIS,"NEW YORK STOCK EXCHANGE, INC.",48.12147633762,Consumer Non-Cyclicals
153,US56585A1025,Marathon Petroleum Corp,MPN.GTX,MPN,MPC.N,MPC,"NEW YORK STOCK EXCHANGE, INC.",47.8579367989,Energy
154,US9285634021,VMware Inc,VMWa.GTX,BZF1,VMW.N,VMW,"NEW YORK STOCK EXCHANGE, INC.",46.87538407174,Technology
155,US15135B1017,Centene Corp,QEN.GTX,QEN,CNC.N,CNC,"NEW YORK STOCK EXCHANGE, INC.",45.12059174642,Healthcare
156,US1696561059,Chipotle Mexican Grill Inc,C9F.GTX,C9F,CMG.N,CMG,"NEW YORK STOCK EXCHANGE, INC.",44.10358646656,Consumer Cyclicals
157,US61174X1090,Monster Beverage Corp,MOB.GTX,MOB,MNST.OQ,MNST,NASDAQ/NGS (GLOBAL SELECT MARKET),45.71785440115,Consumer Non-Cyclicals
158,US4278661081,Hershey Co,HSY.GTX,HSY,HSY.N,HSY,"NEW YORK STOCK EXCHANGE, INC.",46.22786290808,Consumer Non-Cyclicals
159,US4824801009,KLA Corp,KLAC.GTX,KLA,KLAC.OQ,KLAC,NASDAQ/NGS (GLOBAL SELECT MARKET),44.39450815232,Technology
160,US21036P1084,Constellation Brands Inc,STZ.GTX,CB1A,STZ.N,STZ,"NEW YORK STOCK EXCHANGE, INC.",44.75157695917,Consumer Non-Cyclicals
161,US1273871087,Cadence Design Systems Inc,CDNS.GTX,CDS,CDNS.OQ,CDNS,NASDAQ/NGS (GLOBAL SELECT MARKET),44.4545784,Technology
162,US7607591002,Republic Services Inc,RSGU.GTX,RPU,RSG.N,RSG,"NEW YORK STOCK EXCHANGE, INC.",44.72351922204,Industrials
163,US2910111044,Emerson Electric Co,EMR.GTX,EMR,EMR.N,EMR,"NEW YORK STOCK EXCHANGE, INC.",44.660889,Industrials
164,US67103H1077,O'Reilly Automotive Inc,ORLY.GTX,OM6,ORLY.OQ,ORLY,NASDAQ/NGS (GLOBAL SELECT MARKET),43.91503529308,Consumer Cyclicals
165,US5024311095,L3harris Technologies Inc,HRS.GTX,HRS,LHX.N,LHX,"NEW YORK STOCK EXCHANGE, INC.",43.24772701357,Industrials
166,US2788651006,Ecolab Inc,ECL.GTX,ECJ,ECL.N,ECL,"NEW YORK STOCK EXCHANGE, INC.",42.59733691976,Basic Materials
167,US0320951017,Amphenol Corp,APH.GTX,XPH,APH.N,APH,"NEW YORK STOCK EXCHANGE, INC.",41.37029762385,Technology
168,US22052L1044,Corteva Inc,2X0.GTX,2X0,CTVA.N,CTVA,"NEW YORK STOCK EXCHANGE, INC.",42.943536,Consumer Non-Cyclicals
169,US7043261079,Paychex Inc,PAYX.GTX,PCX,PAYX.OQ,PAYX,NASDAQ/NGS (GLOBAL SELECT MARKET),42.37330984864,Industrials
170,US25179M1036,Devon Energy Corp,DVN.GTX,DY6,DVN.N,DVN,"NEW YORK STOCK EXCHANGE, INC.",41.330976,Energy
171,US5007541064,Kraft Heinz Co,KHNZ.GTX,KHNZ,KHC.OQ,KHC,NASDAQ/NGS (GLOBAL SELECT MARKET),41.98356573222,Consumer Non-Cyclicals
172,US30161N1019,Exelon Corp,EXC.GTX,PEO,EXC.OQ,EXC,NASDAQ/NGS (GLOBAL SELECT MARKET),41.4070806104,Utilities
173,US91913Y1001,Valero Energy Corp,V1L.GTX,V1L,VLO.N,VLO,"NEW YORK STOCK EXCHANGE, INC.",42.38726909578,Energy
174,US0527691069,Autodesk Inc,ADSK.GTX,AUD,ADSK.OQ,ADSK,NASDAQ/NGS (GLOBAL SELECT MARKET),40.3980208332,Technology
175,US16411R2085,Cheniere Energy Inc,CHEX.GTX,CHQ1,LNG.A,LNG,NYSE MKT LLC,41.51888571304,Energy
